time,press
1505635208.9,1.0
1505635208.99,1.0
1505635209.11,1.0
1505635209.73,1.0
1505635209.85,1.0
1505635210.04,1.0
1505635213.32,1.0
1505635213.43,1.0
1505635213.66,1.0
1505635214.38,1.0
1505635214.53,1.0
1505635214.75,1.0
1505635215.84,1.0
1505635216.02,1.0
1505635217.19,1.0
1505635217.36,1.0
1505635217.48,1.0
1505635217.6,1.0
1505635217.75,1.0
1505635217.89,1.0
1505635218.4,1.0
1505635218.6,1.0
1505635218.71,1.0
1505635218.78,1.0
1505635219.67,1.0
1505635219.79,1.0
1505635219.99,1.0
1505635220.77,1.0
1505635220.95,1.0
1505635221.07,1.0
1505635221.45,1.0
1505635221.67,1.0
1505635221.79,1.0
1505635221.86,1.0
1505635226.25,1.0
1505635226.41,1.0
1505635226.52,1.0
1505635227.0,1.0
1505635227.3,1.0
1505635227.47,1.0
1505635227.62,1.0
1505635228.3,1.0
1505635228.45,1.0
1505635228.74,1.0
1505635228.9,1.0
1505635229.06,1.0
1505635229.2,1.0
1505635229.35,1.0
1505635229.62,1.0
1505635230.49,1.0
1505635230.6,1.0
1505635230.72,1.0
1505635230.96,1.0
1505635231.12,1.0
1505635231.32,1.0
1505635231.48,1.0
1505635231.6,1.0
1505635232.07,1.0
1505635233.61,1.0
1505635233.77,1.0
1505635233.92,1.0
1505635233.98,1.0
1505635234.15,1.0
1505635234.31,1.0
1505635234.48,1.0
1505635234.98,1.0
1505635235.23,1.0
1505635235.26,1.0
1505635235.3,1.0
1505635235.34,1.0
1505635235.37,1.0
1505635235.41,1.0
1505635235.45,1.0
1505635235.49,1.0
1505635235.92,1.0
1505635236.11,1.0
1505635236.31,1.0
1505635236.46,1.0
1505635236.57,1.0
1505635236.71,1.0
1505635236.8,1.0
1505635237.02,1.0
1505635237.46,1.0
1505635237.72,1.0
1505635238.06,1.0
1505635238.83,1.0
1505635239.0,1.0
1505635239.13,1.0
1505635239.3,1.0
1505635239.5,1.0
1505635239.59,1.0
1505635239.76,1.0
1505635239.91,1.0
