time,press
1505397945.73,1.0
1505397945.79,1.0
1505397945.96,1.0
1505397946.51,1.0
1505397946.6,1.0
1505397947.2,1.0
1505397947.28,1.0
1505397951.78,1.0
1505397951.94,1.0
1505397952.49,1.0
1505397952.67,1.0
1505397952.8,1.0
1505397953.09,1.0
1505397953.2,1.0
1505397953.35,1.0
1505397953.52,1.0
1505397953.68,1.0
1505397954.53,1.0
1505397954.72,1.0
1505397954.92,1.0
1505397955.15,1.0
1505397955.26,1.0
1505397955.37,1.0
1505397955.48,1.0
1505397955.57,1.0
1505397955.73,1.0
1505397956.01,1.0
1505397956.16,1.0
1505397956.31,1.0
1505397956.72,1.0
1505397956.91,1.0
1505397957.13,1.0
1505397957.37,1.0
1505397957.52,1.0
1505397957.69,1.0
1505397957.99,1.0
1505397958.13,1.0
1505397958.83,1.0
1505397959.03,1.0
1505397959.2,1.0
1505397959.37,1.0
1505397959.94,1.0
1505397960.2,1.0
1505397960.31,1.0
1505397960.45,1.0
1505397960.5,1.0
1505397960.68,1.0
1505397961.27,1.0
1505397961.31,1.0
1505397961.5,1.0
1505397961.69,1.0
1505397961.81,1.0
1505397961.91,1.0
1505397962.4,1.0
1505397963.08,1.0
1505397963.28,1.0
1505397963.46,1.0
1505397963.63,1.0
1505397965.13,1.0
1505397973.0,1.0
1505397973.98,1.0
1505397974.6,1.0
1505397974.74,1.0
1505397975.37,1.0
1505397975.45,1.0
1505397975.62,1.0
1505397976.59,1.0
1505397978.58,1.0
1505397978.74,1.0
1505397979.14,1.0
1505397979.26,1.0
1505397979.39,1.0
1505397979.51,1.0
1505397979.73,1.0
1505397979.91,1.0
1505397980.19,1.0
1505397980.39,1.0
1505397980.56,1.0
1505397981.3,1.0
1505397981.43,1.0
1505397982.5,1.0
1505397982.55,1.0
1505397984.45,1.0
1505397984.53,1.0
1505397984.67,1.0
1505397985.04,1.0
1505397985.3,1.0
1505397985.56,1.0
1505397985.74,1.0
1505397985.92,1.0
1505397986.15,1.0
1505397986.31,1.0
1505397986.82,1.0
1505397986.94,1.0
1505397987.1,1.0
1505397987.27,1.0
1505397987.68,1.0
1505397987.92,1.0
1505397988.02,1.0
1505397988.17,1.0
1505397988.35,1.0
1505397988.56,1.0
1505397988.7,1.0
1505397989.43,1.0
1505397989.54,1.0
1505397989.66,1.0
1505397989.83,1.0
1505397989.94,1.0
1505397990.07,1.0
1505397990.2,1.0
1505397991.5,1.0
1505397991.71,1.0
1505397991.89,1.0
1505397992.19,1.0
1505397992.73,1.0
1505397993.4,1.0
1505397993.52,1.0
1505397993.63,1.0
1505397993.95,1.0
1505397994.03,1.0
1505397994.76,1.0
1505397994.85,1.0
1505397995.03,1.0
1505397995.13,1.0
1505397995.32,1.0
1505397995.33,1.0
1505397995.46,1.0
1505397995.55,1.0
1505397995.77,1.0
1505398029.38,1.0
1505398029.52,1.0
1505398029.68,1.0
1505398029.76,1.0
1505398029.87,1.0
1505398029.97,1.0
1505398030.15,1.0
1505398030.26,1.0
1505398030.44,1.0
1505398030.5,1.0
1505398030.68,1.0
1505398031.33,1.0
1505398031.62,1.0
1505398032.2,1.0
1505398032.24,1.0
1505398032.41,1.0
1505398032.45,1.0
1505398032.64,1.0
1505398032.71,1.0
1505398032.87,1.0
1505398033.07,1.0
1505398033.2,1.0
1505398033.46,1.0
1505398033.79,1.0
1505398033.89,1.0
1505398034.11,1.0
1505398035.74,1.0
1505398035.93,1.0
1505398037.24,1.0
1505398037.43,1.0
1505398037.78,1.0
1505398037.8,1.0
1505398038.22,1.0
1505398038.66,1.0
1505398038.66,1.0
1505398046.86,1.0
1505398047.03,1.0
1505398047.2,1.0
1505398047.34,1.0
1505398047.47,1.0
1505398047.71,1.0
1505398047.84,1.0
1505398047.93,1.0
1505398048.08,1.0
1505398048.34,1.0
1505398107.02,1.0
1505398107.11,1.0
1505398107.71,1.0
1505398107.94,1.0
1505398108.04,1.0
1505398108.24,1.0
1505398108.43,1.0
1505398108.53,1.0
1505398109.13,1.0
1505398109.3,1.0
1505398109.41,1.0
1505398109.65,1.0
1505398109.75,1.0
1505398109.9,1.0
1505398110.01,1.0
1505398110.19,1.0
1505398110.26,1.0
1505398110.44,1.0
1505398110.48,1.0
1505398110.63,1.0
1505398110.74,1.0
1505398110.97,1.0
1505398115.82,1.0
1505398116.1,1.0
1505398116.28,1.0
1505398116.41,1.0
1505398116.57,1.0
1505398116.7,1.0
1505398116.82,1.0
1505398117.05,1.0
1505398117.25,1.0
1505398117.61,1.0
1505398117.8,1.0
1505398118.06,1.0
1505398118.21,1.0
1505398118.36,1.0
1505398118.58,1.0
1505398194.05,1.0
1505398194.13,1.0
1505398194.84,1.0
1505398194.91,1.0
1505398195.49,1.0
1505398195.54,1.0
1505398199.24,1.0
1505398207.09,1.0
1505398208.49,1.0
1505398210.36,1.0
1505398210.52,1.0
1505398211.73,1.0
1505398212.26,1.0
1505398212.51,1.0
1505398212.54,1.0
1505398212.58,1.0
1505398212.61,1.0
1505398212.65,1.0
1505398212.69,1.0
1505398212.73,1.0
1505398212.76,1.0
1505398212.8,1.0
1505398212.83,1.0
1505398212.86,1.0
1505398212.9,1.0
1505398212.93,1.0
1505398212.96,1.0
1505398213.0,1.0
1505398213.03,1.0
1505398213.07,1.0
1505398213.1,1.0
1505398213.14,1.0
1505398213.18,1.0
1505398213.21,1.0
1505398213.25,1.0
1505398213.28,1.0
1505398213.32,1.0
1505398213.35,1.0
1505398213.39,1.0
1505398213.43,1.0
1505398213.47,1.0
1505398213.5,1.0
1505398213.54,1.0
1505398213.58,1.0
1505398213.61,1.0
1505398213.65,1.0
1505398213.68,1.0
1505398213.71,1.0
1505398213.75,1.0
1505398213.78,1.0
1505398213.82,1.0
1505398213.85,1.0
1505398213.89,1.0
1505398213.93,1.0
1505398213.97,1.0
1505398214.64,1.0
1505398214.71,1.0
1505398215.17,1.0
1505398215.32,1.0
1505398215.47,1.0
1505398216.14,1.0
1505398216.43,1.0
1505398216.64,1.0
1505398216.89,1.0
1505398216.93,1.0
1505398216.97,1.0
1505398217.0,1.0
1505398217.04,1.0
1505398217.07,1.0
1505398217.11,1.0
1505398217.14,1.0
1505398227.2,1.0
1505398227.31,1.0
1505398227.94,1.0
1505398228.03,1.0
1505398228.2,1.0
1505398229.02,1.0
1505398229.14,1.0
1505398229.63,1.0
1505398229.71,1.0
1505398242.43,1.0
1505398242.61,1.0
1505398242.67,1.0
1505398242.79,1.0
1505398242.96,1.0
1505398243.07,1.0
1505398243.2,1.0
1505398243.5,1.0
1505398243.81,1.0
1505398244.09,1.0
